DISK TYPE,CPU,Memtable Size,Number of Compactions,Overall Compaction CPU Latency(sec),Max Compaction CPU Latency(sec),Min Compaction CPU Latency(ms),Avg of Compaction CPU Latency(sec),Dev of Compaction CPU Latency
PM,2,16,2281,2521.40,1.98,168,1.11,391942.4095402676
PM,2,32,1174,2312.53,4.59,193,1.97,937372.3984769363
PM,2,64,609,2241.45,9.49,122718,3.68,2480055.436007462
PM,2,128,384,2226.89,15.60,23065,5.80,4108690.9943242813
PM,4,16,2295,2909.22,2.42,11368,1.27,380978.28408064146
PM,4,32,1180,2509.29,4.84,81260,2.13,1054450.1528924361
PM,4,64,613,2293.67,9.64,124773,3.74,2521413.067701916
PM,4,128,379,2284.25,19.02,207035,6.03,4207860.004383411
PM,8,16,2317,3049.23,3.56,17399,1.32,464710.4213806673
PM,8,32,1173,2547.07,6.31,72412,2.17,1126207.5393959708
PM,8,64,616,2346.26,9.56,84399,3.81,2601772.472364567
PM,8,128,378,2267.00,14.92,220281,6.00,4123853.8955343617
SATASSD,2,16,1696,1341.42,7.81,45787,0.79,1009508.8223150867
SATASSD,2,32,834,1174.31,8.94,201041,1.41,1433764.7823549104
SATASSD,2,64,400,993.26,13.83,71762,2.48,1937037.8392790847
SATASSD,2,128,197,781.74,17.48,852169,3.97,2723886.331834092
SATASSD,4,16,2249,1915.12,5.22,12488,0.85,667261.7340806386
SATASSD,4,32,1051,1551.65,8.67,85099,1.48,1188315.334457359
SATASSD,4,64,517,1377.51,9.57,32882,2.66,1918767.1464192674
SATASSD,4,128,244,1202.84,19.08,272226,4.93,3597214.8517241315
SATASSD,8,16,2645,2336.30,3.18,49407,0.88,665724.7915134465
SATASSD,8,32,1309,1985.13,6.30,574,1.52,1253959.956396225
SATASSD,8,64,615,1747.36,12.47,67013,2.84,2662692.328755535
SATASSD,8,128,297,1501.93,22.44,756240,5.06,4613055.210544082
NVMeSSD,2,16,2027,1400.43,2.87,6855,0.69,487966.42864632304
NVMeSSD,2,32,1050,1405.20,2.97,142686,1.34,594484.7900173843
NVMeSSD,2,64,581,1464.01,7.70,137419,2.52,1384601.317090778
NVMeSSD,2,128,305,1376.92,15.80,48669,4.51,3014420.9232968716
NVMeSSD,4,16,2287,1795.99,1.93,18065,0.79,424050.68045774335
NVMeSSD,4,32,1105,1644.69,3.59,31887,1.49,615958.2390937498
NVMeSSD,4,64,577,1521.09,6.65,230153,2.64,1174547.184599963
NVMeSSD,4,128,297,1474.23,14.27,126424,4.96,3328341.455108026
NVMeSSD,8,16,2327,1945.75,2.20,33872,0.84,450959.36133812007
NVMeSSD,8,32,1150,1697.42,3.67,127337,1.48,698716.7522813362
NVMeSSD,8,64,575,1566.98,6.46,245461,2.73,1248843.404151076
NVMeSSD,8,128,304,1600.33,13.83,257542,5.26,3652925.8274176116
