DISK TYPE,CPU,Memtable Size,Throughput,Compaction Frequency,Overall Compaction Cost,Cumulative CPU Time,Cumulative Compaction Input,Overall Redundant Records
PM,2,16,191920,2281,2908.60,2521.40,7074043998,156975857
PM,2,32,195239,1174,2465.85,2312.53,6545990992,155605255
PM,2,64,194287,609,2338.67,2241.45,6357025082,151429917
PM,2,128,188181,384,2317.47,2226.89,6339504579,154043376
PM,4,16,204116,2295,2981.51,2909.22,7276152542,152162347
PM,4,32,199442,1180,2528.21,2509.29,6692842164,154054965
PM,4,64,196285,613,2294.64,2293.67,6375013891,153646578
PM,4,128,192417,379,2285.51,2284.25,6334395521,155816186
PM,8,16,200460,2317,3054.51,3049.23,7333033890,152433270
PM,8,32,203867,1173,2549.20,2547.07,6607586793,153609437
PM,8,64,195460,616,2347.14,2346.26,6481013695,151983920
PM,8,128,191389,378,2267.81,2267.00,6317714504,152430922
PM_NOVA,2,16,184309,2249,3118.50,2683.14,7383875750,141160373
PM_NOVA,2,32,189406,1686,2641.29,2417.35,6717813721,136086982
PM_NOVA,2,64,192215,1569,2061.74,1989.01,5586788880,141005991
PM_NOVA,2,128,191280,1400,1664.85,1605.02,4556927454,140353114
PM_NOVA,4,16,198302,2257,2891.66,2875.65,7234107457,141235992
PM_NOVA,4,32,193865,1702,2621.99,2574.52,6750306077,134786034
PM_NOVA,4,64,193437,1562,2047.45,2045.66,5598381140,140923693
PM_NOVA,4,128,191673,1410,1667.67,1666.27,4573637751,140536371
PM_NOVA,8,16,195262,2271,2916.86,2914.49,7299595987,141677003
PM_NOVA,8,32,192261,1727,2834.28,2808.70,6773340019,138316995
PM_NOVA,8,64,194769,1555,2036.88,2035.33,5573710155,141234311
PM_NOVA,8,128,189206,1402,1676.38,1675.15,4573493517,140655023
NVMeSSD,2,16,335898,2027,2449.08,1400.43,5103668150,142667888
NVMeSSD,2,32,331184,1050,2352.22,1405.20,5154312313,147348712
NVMeSSD,2,64,312457,581,2349.11,1464.01,5400403365,146555493
NVMeSSD,2,128,308432,305,2013.15,1376.92,5091530200,147128173
NVMeSSD,4,16,403296,2287,2584.59,1795.99,6042587836,150852314
NVMeSSD,4,32,389617,1105,2231.54,1644.69,5665782564,149368908
NVMeSSD,4,64,371045,577,2005.82,1521.09,5266796560,147342225
NVMeSSD,4,128,344215,297,1914.99,1474.23,5197973328,148539581
NVMeSSD,8,16,413797,2327,2854.99,1945.75,6197875632,150816498
NVMeSSD,8,32,393490,1150,2281.93,1697.42,5670742068,150322412
NVMeSSD,8,64,378156,575,2118.60,1566.98,5299843604,148918149
NVMeSSD,8,128,342011,304,2111.07,1600.33,5454931391,148921834
